x y
0.06053115 -0.00020542
0.06114184 -0.00054513
0.06312720 -0.00033016
0.06674630 0.00067514
0.07199721 0.00247067
0.07216301 0.00167911
0.07243659 0.00067680
0.07281807 -0.00047323
0.07332413 -0.00171518
0.07406512 -0.00297768
0.07328599 -0.00465595
0.07224772 -0.00646750
0.07100812 -0.00846431
0.06952380 -0.01063842
0.06780295 -0.01298750
0.06722087 -0.01496380
0.06564779 -0.01712134
0.06284337 -0.01950992
0.05889834 -0.02207977
0.05377979 -0.02481915
0.05273074 -0.02635627
0.05176148 -0.02767440
0.05069325 -0.02941093
0.04951141 -0.03139778
0.04822597 -0.03357761
0.04681922 -0.03537492
0.04636516 -0.03643723
0.04556024 -0.03779494
0.04440847 -0.03947747
0.04273627 -0.04150931
0.04281555 -0.04318767
0.04372544 -0.04425565
0.04506003 -0.04571826
0.04693295 -0.04759960
0.04936714 -0.04990671
0.05057752 -0.05140468
0.05223028 -0.05252509
0.05527222 -0.05391506
0.05973730 -0.05556258
0.06562372 -0.05746763
0.06773639 -0.05839486
0.06998829 -0.05915740
0.07271577 -0.06009945
0.07610404 -0.06109672
0.08016209 -0.06213248
0.08610541 -0.06248145
0.09035266 -0.06229206
0.09619712 -0.06151284
0.10360772 -0.06008613
0.11258905 -0.05800923
