x y theta(rad)
-1.130507215857505798e-01 1.405875850468873978e-02 -6.684074997901916504e-01
-1.126356273889541626e-01 1.206818316131830215e-02 -6.526108384132385254e-01
-1.121367365121841431e-01 1.007990166544914246e-02 -6.330954432487487793e-01
-1.115559488534927368e-01 8.094031363725662231e-03 -6.099268794059753418e-01
-1.108953803777694702e-01 6.110639777034521103e-03 -5.831567645072937012e-01
-1.101573407649993896e-01 4.129794891923666000e-03 -5.528561472892761230e-01
-1.093444600701332092e-01 2.151554683223366737e-03 -5.191106796264648438e-01
-1.084595173597335815e-01 1.759691949700936675e-04 -4.820013642311096191e-01
-1.075054854154586792e-01 -1.796925091184675694e-03 -4.416318237781524658e-01
-1.064854189753532410e-01 -3.767109708860516548e-03 -3.980908095836639404e-01
-1.044870615005493164e-01 -5.753267556428909302e-03 -3.781805932521820068e-01
-1.024804785847663879e-01 -7.734379265457391739e-03 -3.512220680713653564e-01
-1.004722192883491516e-01 -9.710469283163547516e-03 -3.174715340137481689e-01
-9.846339374780654907e-02 -1.168163958936929703e-02 -2.772651612758636475e-01
-9.645466506481170654e-02 -1.364804245531558990e-02 -2.309773266315460205e-01
-9.444673359394073486e-02 -1.560989115387201309e-02 -1.790150552988052368e-01
-9.244030714035034180e-02 -1.756747253239154816e-02 -1.218025386333465576e-01
-9.043608605861663818e-02 -1.952114701271057129e-02 -5.977063626050949097e-02
-8.843476325273513794e-02 -2.147135511040687561e-02 6.654663942754268646e-03
-8.643697202205657959e-02 -2.341861091554164886e-02 7.705570012331008911e-02
-8.444328606128692627e-02 -2.536349929869174957e-02 1.510365307331085205e-01
-8.248162269592285156e-02 -2.734438888728618622e-02 1.752258688211441040e-01
-8.049266785383224487e-02 -2.932043932378292084e-02 2.076668590307235718e-01
-7.850062847137451172e-02 -3.129092231392860413e-02 2.480650842189788818e-01
-7.651045173406600952e-02 -3.325640037655830383e-02 2.958566248416900635e-01
-7.452347874641418457e-02 -3.521760180592536926e-02 3.504194617271423340e-01
-7.254039496183395386e-02 -3.717534989118576050e-02 4.111067056655883789e-01
-7.056171447038650513e-02 -3.913054615259170532e-02 4.772781133651733398e-01
-6.858784705400466919e-02 -4.108413681387901306e-02 5.483059287071228027e-01
-6.661906838417053223e-02 -4.303710162639617920e-02 6.235967874526977539e-01
-6.465552747249603271e-02 -4.499042034149169922e-02 7.025938034057617188e-01
-6.269726157188415527e-02 -4.694505408406257629e-02 7.848080992698669434e-01
-6.070441752672195435e-02 -4.892344027757644653e-02 7.876635193824768066e-01
-5.870704352855682373e-02 -5.091811344027519226e-02 7.914761304855346680e-01
-5.670965462923049927e-02 -5.291506275534629822e-02 7.962406277656555176e-01
-5.471273139119148254e-02 -5.491198599338531494e-02 8.019521236419677734e-01
-5.271633714437484741e-02 -5.690850690007209778e-02 8.086196184158325195e-01
-5.072048306465148926e-02 -5.890457704663276672e-02 8.162351846694946289e-01
-4.872518777847290039e-02 -6.090019270777702332e-02 8.248069286346435547e-01
-4.673045501112937927e-02 -6.289537250995635986e-02 8.343290686607360840e-01
-4.473630338907241821e-02 -6.489012390375137329e-02 8.448040485382080078e-01
-4.274274408817291260e-02 -6.688447296619415283e-02 8.562324047088623047e-01
-4.074979200959205627e-02 -6.887843459844589233e-02 8.686044216156005859e-01
-3.882024809718132019e-02 -6.866887211799621582e-02 8.842812180519104004e-01
-3.684687614440917969e-02 -6.839650869369506836e-02 9.055616259574890137e-01
-3.486604616045951843e-02 -6.806121021509170532e-02 9.323874711990356445e-01
-3.288637474179267883e-02 -6.766393035650253296e-02 9.645826816558837891e-01
-3.090985678136348724e-02 -6.720578670501708984e-02 1.001948952674865723e+00
-2.893698401749134064e-02 -6.668806821107864380e-02 1.044264674186706543e+00
-2.696789428591728210e-02 -6.611203402280807495e-02 1.091297745704650879e+00
-2.500261552631855011e-02 -6.547901034355163574e-02 1.142806529998779297e+00
-2.304109930992126465e-02 -6.479066610336303711e-02 1.198528051376342773e+00
-2.108324132859706879e-02 -6.404877454042434692e-02 1.258187890052795410e+00
-1.912887394428253174e-02 -6.325514614582061768e-02 1.321525335311889648e+00
-1.804346218705177307e-02 -6.308439373970031738e-02 1.328831791877746582e+00
-1.660567894577980042e-02 -6.282509118318557739e-02 1.339776873588562012e+00
-1.493339985609054565e-02 -6.247565895318984985e-02 1.354398012161254883e+00
-1.312177255749702454e-02 -6.203633546829223633e-02 1.372676134109497070e+00
-1.123224105685949326e-02 -6.150811538100242615e-02 1.394599914550781250e+00
-9.301394224166870117e-03 -6.089317426085472107e-02 1.420116901397705078e+00
-7.349627558141946793e-03 -6.019418314099311829e-02 1.449157357215881348e+00
-5.387950688600540161e-03 -5.941409990191459656e-02 1.481644749641418457e+00
-3.422209760174155235e-03 -5.855610594153404236e-02 1.517495155334472656e+00
-1.455458579584956169e-03 -5.762358754873275757e-02 1.556617856025695801e+00
5.107505130581557751e-04 -5.662006884813308716e-02 1.598916530609130859e+00
4.769629740621894598e-04 -5.670131370425224304e-02 1.598941564559936523e+00
4.423062782734632492e-04 -5.679053068161010742e-02 1.598794937133789062e+00
4.062420921400189400e-04 -5.689777806401252747e-02 1.598251223564147949e+00
3.681964299175888300e-04 -5.702795833349227905e-02 1.597212672233581543e+00
3.281976096332073212e-04 -5.718162283301353455e-02 1.595662593841552734e+00
2.861486282199621201e-04 -5.735909193754196167e-02 1.593596100807189941e+00
2.420907258056104183e-04 -5.756045132875442505e-02 1.591005444526672363e+00
1.960544905159622431e-04 -5.778578296303749084e-02 1.587882518768310547e+00
1.476736506447196007e-04 -5.803495645523071289e-02 1.584222078323364258e+00
9.655270696384832263e-05 -5.830780044198036194e-02 1.580020070075988770e+00
4.269177588867023587e-05 -5.860424786806106567e-02 1.575276732444763184e+00
