x y
0.05620879 -0.00029440
0.05736221 -0.00068637
0.06027803 -0.00042827
0.06506778 0.00054141
0.07172809 0.00222257
0.07352599 0.00192136
0.07616710 0.00191487
0.08016393 0.00290849
0.08558688 0.00494742
0.09242230 0.00803089
0.09418990 0.00743335
0.09585243 0.00704371
0.09853587 0.00727067
0.10232960 0.00820597
0.10724048 0.00983995
0.10748219 0.00784692
0.11041638 0.00869573
0.11448712 0.01042830
0.11873272 0.01245290
0.12319520 0.01473565
0.12460179 0.01308416
0.12523529 0.01186889
0.12655149 0.01104994
0.12855609 0.01078809
0.13128153 0.01103263
0.13263739 0.00952174
0.13355096 0.00832961
0.13441835 0.00689111
0.13530905 0.00519074
0.13620702 0.00326054
0.13685876 0.00082071
0.13733709 -0.00051438
0.13747070 -0.00261732
0.13721739 -0.00553573
0.13658057 -0.00927150
0.13668994 -0.01157872
0.13657515 -0.01348523
0.13635042 -0.01581091
0.13596905 -0.01857711
0.13543104 -0.02178369
0.13488965 -0.02435402
0.13355669 -0.02744824
0.13110929 -0.03121228
0.12776895 -0.03537744
0.12331567 -0.04032617
0.12338447 -0.04261784
0.12287953 -0.04406342
0.12115088 -0.04652044
0.11817302 -0.05000625
0.11397791 -0.05442487
