x y theta(rad)
-9.890345390886068344e-04 2.201403528451919556e-01 1.616055130958557129e+00
-2.140652621164917946e-03 2.201987951993942261e-01 1.675556182861328125e+00
-3.640584414824843407e-03 2.199589014053344727e-01 1.758661508560180664e+00
-5.410927347838878632e-03 2.193879485130310059e-01 1.865664124488830566e+00
-7.356248795986175537e-03 2.184961438179016113e-01 1.995268106460571289e+00
-9.401477873325347900e-03 2.173151671886444092e-01 2.146048784255981445e+00
-1.149604935199022293e-02 2.158838063478469849e-01 2.314987897872924805e+00
-1.360566820949316025e-02 2.142428457736968994e-01 2.500330924987792969e+00
-1.570544391870498657e-02 2.124314010143280029e-01 2.700735569000244141e+00
-1.777584850788116455e-02 2.104844897985458374e-01 2.915872097015380859e+00
-1.980027183890342712e-02 2.084347307682037354e-01 -3.137548923492431641e+00
-1.986592821776866913e-02 2.083977609872817993e-01 -3.140481948852539062e+00
-1.993362419307231903e-02 2.083572149276733398e-01 3.140556335449218750e+00
-2.000362053513526917e-02 2.083100229501724243e-01 3.139838457107543945e+00
-2.007565647363662720e-02 2.082565128803253174e-01 3.140346288681030273e+00
-2.014957740902900696e-02 2.081966400146484375e-01 -3.141104936599731445e+00
-2.022538706660270691e-02 2.081300020217895508e-01 -3.138063669204711914e+00
-2.030307240784168243e-02 2.080565989017486572e-01 -3.133715391159057617e+00
-2.038261108100414276e-02 2.079764306545257568e-01 -3.128052473068237305e+00
-2.046398259699344635e-02 2.078895121812820435e-01 -3.121095418930053711e+00
-2.054715342819690704e-02 2.077958285808563232e-01 -3.112822771072387695e+00
-2.063208073377609253e-02 2.076954394578933716e-01 -3.103260278701782227e+00
-2.068811468780040741e-02 2.076821178197860718e-01 -3.099586009979248047e+00
-2.074635028839111328e-02 2.076671719551086426e-01 -3.095599651336669922e+00
-2.080656960606575012e-02 2.076496183872222900e-01 -3.091157913208007812e+00
-2.087025344371795654e-02 2.076281756162643433e-01 -3.086104869842529297e+00
-2.093861997127532959e-02 2.076026648283004761e-01 -3.080066204071044922e+00
-2.101181074976921082e-02 2.075727432966232300e-01 -3.072939157485961914e+00
-2.108992822468280792e-02 2.075384408235549927e-01 -3.064701318740844727e+00
-2.117293700575828552e-02 2.074997276067733765e-01 -3.055329799652099609e+00
-2.126079425215721130e-02 2.074565738439559937e-01 -3.044909715652465820e+00
-2.135347016155719757e-02 2.074089199304580688e-01 -3.033463716506958008e+00
-2.145098336040973663e-02 2.073568105697631836e-01 -3.020993947982788086e+00
-2.333245240151882172e-02 2.059007585048675537e-01 -3.040471792221069336e+00
-2.527780085802078247e-02 2.042577564716339111e-01 -3.048114299774169922e+00
-2.725496701896190643e-02 2.024594545364379883e-01 -3.038803815841674805e+00
-2.924302965402603149e-02 2.005569189786911011e-01 -3.012051105499267578e+00
-3.123295679688453674e-02 1.985842287540435791e-01 -2.970052957534790039e+00
-3.321931511163711548e-02 1.965644359588623047e-01 -2.912945270538330078e+00
-3.519839048385620117e-02 1.945123821496963501e-01 -2.841595172882080078e+00
-3.716662153601646423e-02 1.924371868371963501e-01 -2.756047725677490234e+00
-3.912032395601272583e-02 1.903453767299652100e-01 -2.656345844268798828e+00
-4.105573520064353943e-02 1.882424652576446533e-01 -2.542524099349975586e+00
-4.296919330954551697e-02 1.861340850591659546e-01 -2.414627552032470703e+00
-4.488033801317214966e-02 1.853296905755996704e-01 -2.411065816879272461e+00
-4.683683440089225769e-02 1.843543648719787598e-01 -2.403056859970092773e+00
-4.881349205970764160e-02 1.831697076559066772e-01 -2.387845754623413086e+00
-5.079212412238121033e-02 1.817975789308547974e-01 -2.364492416381835938e+00
-5.276605114340782166e-02 1.802689731121063232e-01 -2.332549333572387695e+00
-5.473288893699645996e-02 1.786144822835922241e-01 -2.292032241821289062e+00
-5.669304355978965759e-02 1.768587380647659302e-01 -2.244856357574462891e+00
-5.864578485488891602e-02 1.750267595052719116e-01 -2.191023826599121094e+00
-6.059049814939498901e-02 1.731384545564651489e-01 -2.130538463592529297e+00
-6.252664327621459961e-02 1.712094545364379883e-01 -2.063395500183105469e+00
-6.445376574993133545e-02 1.692520231008529663e-01 -1.989595174789428711e+00
-6.638106703758239746e-02 1.678482592105865479e-01 -1.975827693939208984e+00
-6.834524124860763550e-02 1.662267148494720459e-01 -1.958118557929992676e+00
-7.031795382499694824e-02 1.644351333379745483e-01 -1.935482501983642578e+00
-7.228848338127136230e-02 1.625442951917648315e-01 -1.907859802246093750e+00
-7.425422221422195435e-02 1.605976969003677368e-01 -1.875239610671997070e+00
-7.621448487043380737e-02 1.586208492517471313e-01 -1.837635278701782227e+00
-7.816898822784423828e-02 1.566280275583267212e-01 -1.795002460479736328e+00
-8.011760562658309937e-02 1.546274721622467041e-01 -1.747335314750671387e+00
-8.206029981374740601e-02 1.526240408420562744e-01 -1.694639682769775391e+00
-8.399709314107894897e-02 1.506208032369613647e-01 -1.636914134025573730e+00
-8.592811971902847290e-02 1.486198902130126953e-01 -1.574159264564514160e+00
-8.789134025573730469e-02 1.467898786067962646e-01 -1.570582985877990723e+00
-8.987361192703247070e-02 1.448641270399093628e-01 -1.562610745429992676e+00
-9.185751527547836304e-02 1.428942233324050903e-01 -1.549973964691162109e+00
-9.383820742368698120e-02 1.409065276384353638e-01 -1.532890796661376953e+00
-9.581484645605087280e-02 1.389121413230895996e-01 -1.511733055114746094e+00
-9.778711199760437012e-02 1.369158327579498291e-01 -1.486481189727783203e+00
-9.975498914718627930e-02 1.349196732044219971e-01 -1.457137107849121094e+00
-1.017185226082801819e-01 1.329247057437896729e-01 -1.423703193664550781e+00
-1.036778092384338379e-01 1.309316158294677734e-01 -1.386176466941833496e+00
-1.056329980492591858e-01 1.289409846067428589e-01 -1.344560980796813965e+00
-1.075842827558517456e-01 1.269533932209014893e-01 -1.298856735229492188e+00
-1.094876155257225037e-01 1.250593811273574829e-01 -1.288003921508789062e+00
-1.114502772688865662e-01 1.230953261256217957e-01 -1.277407169342041016e+00
-1.134323626756668091e-01 1.211078017950057983e-01 -1.267096519470214844e+00
-1.154199838638305664e-01 1.191136315464973450e-01 -1.257047891616821289e+00
-1.174092814326286316e-01 1.171176731586456299e-01 -1.247264862060546875e+00
-1.193992421030998230e-01 1.151212304830551147e-01 -1.237744927406311035e+00
-1.213896051049232483e-01 1.131246462464332581e-01 -1.228491783142089844e+00
-1.233802959322929382e-01 1.111280247569084167e-01 -1.219499349594116211e+00
-1.253712922334671021e-01 1.091313734650611877e-01 -1.210770368576049805e+00
-1.273625642061233521e-01 1.071346998214721680e-01 -1.202275514602661133e+00
-1.293541043996810913e-01 1.051380038261413574e-01 -1.194021701812744141e+00
-1.310715824365615845e-01 1.033589467406272888e-01 -1.181037783622741699e+00
-1.328943818807601929e-01 1.014875695109367371e-01 -1.168239593505859375e+00
-1.347913593053817749e-01 9.955565631389617920e-02 -1.156691431999206543e+00
-1.367319226264953613e-01 9.759143739938735962e-02 -1.146590232849121094e+00
-1.386970281600952148e-01 9.561066329479217529e-02 -1.137415409088134766e+00
-1.406757384538650513e-01 9.362146258354187012e-02 -1.128372192382812500e+00
-1.426610648632049561e-01 9.162855148315429688e-02 -1.119419813156127930e+00
-1.446495801210403442e-01 8.963406831026077271e-02 -1.110556483268737793e+00
-1.466396600008010864e-01 8.763892203569412231e-02 -1.101775050163269043e+00
-1.486305594444274902e-01 8.564350008964538574e-02 -1.093093276023864746e+00
-1.506219208240509033e-01 8.364797383546829224e-02 -1.084522485733032227e+00
-1.506506353616714478e-01 8.363065868616104126e-02 -1.079207777976989746e+00
-1.506805270910263062e-01 8.361139893531799316e-02 -1.073796749114990234e+00
-1.507154405117034912e-01 8.358900249004364014e-02 -1.068387866020202637e+00
-1.507569551467895508e-01 8.356287330389022827e-02 -1.063435673713684082e+00
-1.508045494556427002e-01 8.353266119956970215e-02 -1.059026598930358887e+00
-1.508584022521972656e-01 8.349835872650146484e-02 -1.055170297622680664e+00
-1.509184986352920532e-01 8.345993608236312866e-02 -1.051936745643615723e+00
-1.509848684072494507e-01 8.341738581657409668e-02 -1.049330711364746094e+00
-1.510574817657470703e-01 8.337071537971496582e-02 -1.047350406646728516e+00
-1.511363387107849121e-01 8.331990987062454224e-02 -1.045989513397216797e+00
-1.512214392423629761e-01 8.326496183872222900e-02 -1.045247673988342285e+00
-1.518145501613616943e-01 8.154257386922836304e-02 -1.054616689682006836e+00
-1.525420546531677246e-01 7.968091219663619995e-02 -1.065000057220458984e+00
-1.534246355295181274e-01 7.773618400096893311e-02 -1.076313614845275879e+00
-1.544597893953323364e-01 7.575409114360809326e-02 -1.088541507720947266e+00
-1.556346863508224487e-01 7.375689595937728882e-02 -1.101655483245849609e+00
-1.569342911243438721e-01 7.175368070602416992e-02 -1.115658998489379883e+00
-1.583438217639923096e-01 6.974800676107406616e-02 -1.130538463592529297e+00
-1.598492860794067383e-01 6.774128973484039307e-02 -1.146306872367858887e+00
-1.614376604557037354e-01 6.573409587144851685e-02 -1.162961602210998535e+00
-1.630971729755401611e-01 6.372667849063873291e-02 -1.180495619773864746e+00
-1.648173183202743530e-01 6.171917542815208435e-02 -1.198918938636779785e+00
-1.647908687591552734e-01 5.994225665926933289e-02 -1.202864170074462891e+00
-1.647571623325347900e-01 5.806075781583786011e-02 -1.203517556190490723e+00
-1.647123694419860840e-01 5.610558763146400452e-02 -1.198774337768554688e+00
-1.646564155817031860e-01 5.412465333938598633e-02 -1.188704490661621094e+00
-1.645894497632980347e-01 5.213611572980880737e-02 -1.173687338829040527e+00
-1.645114570856094360e-01 5.014657974243164062e-02 -1.153758287429809570e+00
-1.644220203161239624e-01 4.815847799181938171e-02 -1.129100799560546875e+00
-1.643213182687759399e-01 4.617293179035186768e-02 -1.099716782569885254e+00
-1.642095744609832764e-01 4.419060796499252319e-02 -1.065595030784606934e+00
-1.640870720148086548e-01 4.221203550696372986e-02 -1.026739001274108887e+00
-1.639541983604431152e-01 4.023774340748786926e-02 -9.831581711769104004e-01
-1.636965125799179077e-01 3.848222270607948303e-02 -9.777995347976684570e-01
-1.633756011724472046e-01 3.662462532520294189e-02 -9.695015549659729004e-01
-1.629802137613296509e-01 3.470285609364509583e-02 -9.561206698417663574e-01
-1.625058352947235107e-01 3.274750337004661560e-02 -9.375141859054565430e-01
-1.619526594877243042e-01 3.077835403382778168e-02 -9.136332869529724121e-01
-1.613201200962066650e-01 2.880469337105751038e-02 -8.849672079086303711e-01
-1.606087237596511841e-01 2.683112211525440216e-02 -8.518877029418945312e-01
-1.598208099603652954e-01 2.486013248562812805e-02 -8.143889307975769043e-01
-1.589591056108474731e-01 2.289302274584770203e-02 -7.724747657775878906e-01
-1.580265611410140991e-01 2.093057706952095032e-02 -7.261345982551574707e-01
-1.570263504981994629e-01 1.897335052490234375e-02 -6.753814220428466797e-01
-1.565980762243270874e-01 1.729492656886577606e-02 -6.548222303390502930e-01
-1.560409814119338989e-01 1.547155436128377914e-02 -6.289275884628295898e-01
-1.553302109241485596e-01 1.356540247797966003e-02 -5.961874723434448242e-01
-1.544636040925979614e-01 1.162686385214328766e-02 -5.562480092048645020e-01
-1.534511595964431763e-01 9.680788032710552216e-03 -5.090739727020263672e-01
-1.523058414459228516e-01 7.737303618341684341e-03 -4.546092152595520020e-01
-1.510415971279144287e-01 5.800486076623201370e-03 -3.928603529930114746e-01
-1.496725231409072876e-01 3.872051602229475975e-03 -3.238356113433837891e-01
-1.482124477624893188e-01 1.952732331119477749e-03 -2.475389540195465088e-01
-1.466747820377349854e-01 4.274644015822559595e-05 -1.639805436134338379e-01
-1.450722515583038330e-01 -1.858072355389595032e-03 -7.316961139440536499e-02
-1.450661420822143555e-01 -1.923416042700409889e-03 -8.093992620706558228e-02
-1.450638324022293091e-01 -1.995869446545839310e-03 -9.153142571449279785e-02
-1.450651139020919800e-01 -2.078600926324725151e-03 -1.059064194560050964e-01
-1.450703144073486328e-01 -2.171678468585014343e-03 -1.240463033318519592e-01
-1.450793445110321045e-01 -2.275202888995409012e-03 -1.460255980491638184e-01
-1.450923234224319458e-01 -2.389044500887393951e-03 -1.718710660934448242e-01
-1.451095938682556152e-01 -2.513185376301407814e-03 -2.015773653984069824e-01
-1.451316028833389282e-01 -2.647874644026160240e-03 -2.351427823305130005e-01
-1.451587378978729248e-01 -2.792975166812539101e-03 -2.725618481636047363e-01
-1.451914757490158081e-01 -2.948306966572999954e-03 -3.138406276702880859e-01
-1.452302783727645874e-01 -3.113640006631612778e-03 -3.589717447757720947e-01
-1.452233046293258667e-01 -3.175266087055206299e-03 -3.640612959861755371e-01
-1.452150493860244751e-01 -3.243477782234549522e-03 -3.712327480316162109e-01
-1.452017724514007568e-01 -3.321126801893115044e-03 -3.798240423202514648e-01
-1.451826840639114380e-01 -3.409601282328367233e-03 -3.894806206226348877e-01
-1.451575756072998047e-01 -3.508969675749540329e-03 -3.999365866184234619e-01
-1.451263874769210815e-01 -3.619235241785645485e-03 -4.111738204956054688e-01
-1.450891345739364624e-01 -3.740377025678753853e-03 -4.231876432895660400e-01
