x y theta(rad)
1.512356847524642944e-01 7.995221763849258423e-02 -2.199311733245849609e+00
1.512586772441864014e-01 7.992783188819885254e-02 -2.199114561080932617e+00
1.512841284275054932e-01 7.990211248397827148e-02 -2.198477268218994141e+00
1.520557403564453125e-01 7.815905660390853882e-02 -2.182144165039062500e+00
1.529691517353057861e-01 7.631585001945495605e-02 -2.167692184448242188e+00
1.540443897247314453e-01 7.440070807933807373e-02 -2.157542228698730469e+00
1.552772074937820435e-01 7.244193553924560547e-02 -2.150247573852539062e+00
1.566528826951980591e-01 7.046031951904296875e-02 -2.144532680511474609e+00
1.581537127494812012e-01 6.846717745065689087e-02 -2.139204263687133789e+00
1.597607582807540894e-01 6.646817177534103394e-02 -2.133324623107910156e+00
1.614538431167602539e-01 6.446641683578491211e-02 -2.126906871795654297e+00
1.632158905267715454e-01 6.246327608823776245e-02 -2.119936704635620117e+00
1.650326848030090332e-01 6.045938283205032349e-02 -2.112424850463867188e+00
1.668927073478698730e-01 5.845501646399497986e-02 -2.104365348815917969e+00
1.667118519544601440e-01 5.660741031169891357e-02 -2.089539051055908203e+00
1.664922088384628296e-01 5.467050150036811829e-02 -2.081159591674804688e+00
1.662307232618331909e-01 5.269624665379524231e-02 -2.079940795898437500e+00
1.659273654222488403e-01 5.070969089865684509e-02 -2.086001396179199219e+00
1.655823737382888794e-01 4.872092232108116150e-02 -2.099346876144409180e+00
1.651961058378219604e-01 4.673407226800918579e-02 -2.119989395141601562e+00
1.647688001394271851e-01 4.475084692239761353e-02 -2.147591352462768555e+00
1.643006056547164917e-01 4.277177900075912476e-02 -2.181268453598022461e+00
1.637922227382659912e-01 4.079763218760490417e-02 -2.221028804779052734e+00
1.632445156574249268e-01 3.882908448576927185e-02 -2.266846179962158203e+00
1.626584529876708984e-01 3.686681389808654785e-02 -2.318738460540771484e+00
1.623887568712234497e-01 3.507224097847938538e-02 -2.319897174835205078e+00
1.620552539825439453e-01 3.318167850375175476e-02 -2.323941707611083984e+00
1.616382896900177002e-01 3.123214095830917358e-02 -2.331775665283203125e+00
1.611331850290298462e-01 2.925890684127807617e-02 -2.343648910522460938e+00
1.605414152145385742e-01 2.727825753390789032e-02 -2.359608650207519531e+00
1.598646938800811768e-01 2.529659494757652283e-02 -2.379485607147216797e+00
1.591049283742904663e-01 2.331646531820297241e-02 -2.402981519699096680e+00
1.582650244235992432e-01 2.133914083242416382e-02 -2.430105447769165039e+00
1.573481410741806030e-01 1.936521008610725403e-02 -2.460844278335571289e+00
1.563576161861419678e-01 1.739502884447574615e-02 -2.495201349258422852e+00
1.552969217300415039e-01 1.542886067181825638e-02 -2.533176422119140625e+00
1.552952527999877930e-01 1.538806781172752380e-02 -2.542727947235107422e+00
1.552894562482833862e-01 1.534610241651535034e-02 -2.555320978164672852e+00
1.552785784006118774e-01 1.530041638761758804e-02 -2.571822643280029297e+00
1.552647352218627930e-01 1.524909492582082748e-02 -2.591672420501708984e+00
1.552482545375823975e-01 1.519246678799390793e-02 -2.614925384521484375e+00
1.552289873361587524e-01 1.513073686510324478e-02 -2.641589879989624023e+00
1.552071273326873779e-01 1.506432238966226578e-02 -2.671715259552001953e+00
1.551829874515533447e-01 1.499337237328290939e-02 -2.705306768417358398e+00
1.551566720008850098e-01 1.491831894963979721e-02 -2.742459058761596680e+00
1.551287621259689331e-01 1.483942661434412003e-02 -2.783164024353027344e+00
1.550997346639633179e-01 1.475680246949195862e-02 -2.827420234680175781e+00
1.551004797220230103e-01 1.471675746142864227e-02 -2.834162950515747070e+00
1.551028788089752197e-01 1.467452105134725571e-02 -2.842142581939697266e+00
1.551102101802825928e-01 1.462545152753591537e-02 -2.850807666778564453e+00
1.551224589347839355e-01 1.456854213029146194e-02 -2.860106229782104492e+00
1.551394760608673096e-01 1.450381334871053696e-02 -2.870000362396240234e+00
1.551617383956909180e-01 1.443054247647523880e-02 -2.880276441574096680e+00
1.551890224218368530e-01 1.434837747365236282e-02 -2.891017913818359375e+00
1.552211493253707886e-01 1.425718516111373901e-02 -2.902246713638305664e+00
1.552581936120986938e-01 1.415700931102037430e-02 -2.913947105407714844e+00
1.553000956773757935e-01 1.404797658324241638e-02 -2.926225662231445312e+00
1.553469449281692505e-01 1.393007673323154449e-02 -2.939062356948852539e+00
1.547016054391860962e-01 1.206951495260000229e-02 -2.926124572753906250e+00
1.538694947957992554e-01 1.011348888278007507e-02 -2.916260242462158203e+00
1.528585851192474365e-01 8.124435320496559143e-03 -2.909549236297607422e+00
1.516858190298080444e-01 6.126631051301956177e-03 -2.906085491180419922e+00
1.503709107637405396e-01 4.128344357013702393e-03 -2.905903816223144531e+00
1.489335298538208008e-01 2.132280496880412102e-03 -2.909007310867309570e+00
1.473922133445739746e-01 1.393248094245791435e-04 -2.915399074554443359e+00
1.457638740539550781e-01 -1.850224914960563183e-03 -2.925076484680175781e+00
1.440633982419967651e-01 -3.836256219074130058e-03 -2.938041448593139648e+00
1.423036605119705200e-01 -5.818712990731000900e-03 -2.954294443130493164e+00
1.404956728219985962e-01 -7.797556929290294647e-03 -2.973832130432128906e+00
